39,9,14,7,1
4,58,7,40,0
6,49,1,37,0
5,68,6,36,0
21,15,3,3,1
33,2,16,4,1
1,59,2,36,0
2,78,5,11,0
17,0,10,2,1
47,0,3,3,1
21,13,19,6,1
7,18,2,28,0
5,49,3,31,0
6,22,6,49,0
30,15,10,2,1
56,6,8,5,1
6,54,1,44,0
4,19,5,49,0
4,12,6,36,0
53,13,10,5,1
41,19,5,2,1
30,9,15,6,1
34,6,12,10,1
5,99,4,37,0
3,99,3,14,0
57,12,15,8,1
6,29,5,16,0
2,26,6,46,0
48,17,6,6,1
41,4,5,5,1
5,41,5,14,0
5,36,6,50,0
2,87,2,19,0
3,22,3,26,0
5,18,12,2,1
1,73,7,13,0
25,0,16,2,1
5,50,4,23,0
26,17,10,6,1
42,4,3,0,1
2,76,6,44,0
59,12,9,0,1
6,69,3,36,0
34,7,20,5,1
19,7,9,10,1
4,72,4,23,0
5,26,4,22,0
1,34,2,24,0
5,15,5,38,0
13,9,16,0,1
2,38,5,35,0
17,5,13,7,1
4,38,6,26,0
51,2,9,2,1
21,18,19,3,1
6,89,2,49,0
51,11,4,1,1
6,12,3,10,1
6,17,4,39,0
51,6,10,2,1
30,18,15,7,1
5,65,2,20,0
2,27,7,14,0
8,5,18,8,1
5,0,13,7,1
2,67,6,49,0
2,20,7,29,0
22,7,13,1,1
56,0,11,0,1
60,1,11,5,1
1,80,1,41,0
40,5,20,5,1
57,2,15,7,1
1,92,5,41,0
6,1,5,2,1
8,8,18,10,1
2,30,1,47,0
23,12,20,10,1
3,24,2,20,0
24,19,10,8,1
5,14,2,34,0
47,14,12,6,1
6,13,5,16,0
17,11,10,3,1
6,14,8,10,1
4,1,3,5,1
49,8,14,2,1
10,10,8,8,1
59,14,3,4,1
2,72,5,21,0
4,64,5,45,0
5,35,6,27,0
26,1,7,7,1
46,17,13,4,1
2,23,2,41,0
42,7,13,4,1
35,1,8,2,1
4,54,2,49,0
1,96,1,42,0
26,18,3,10,1
47,17,5,7,1
4,26,5,26,0
21,20,20,8,1
33,7,13,0,1
2,26,2,40,0
41,7,17,8,1
21,18,20,8,1
5,18,15,5,1
5,55,7,35,0
29,19,4,2,1
3,92,1,48,0
39,13,11,6,1
45,17,4,5,1
4,67,6,41,0
6,15,4,14,0
60,20,10,4,1
1,38,1,34,0
4,84,7,10,0
7,54,4,29,0
5,62,5,27,0
9,11,7,9,1
58,15,8,2,1
5,24,7,26,0
4,71,4,50,0
20,16,17,8,1
23,14,11,1,1
38,16,16,5,1
1,41,6,12,0
33,13,17,5,1
21,3,9,10,1
2,43,1,18,0
21,4,4,5,1
2,32,3,35,0
1,24,2,35,0
4,23,5,38,0
5,79,1,21,0
4,62,2,41,0
5,7,4,5,1
14,13,18,8,1
3,50,3,25,0
60,13,13,1,1
30,12,5,9,1
4,94,1,41,0
6,74,6,35,0
34,19,9,6,1
4,52,1,24,0
4,41,3,23,0
56,14,12,6,1
1,58,6,35,0
6,35,2,22,0
58,5,8,9,1
3,27,7,33,0
29,19,9,0,1
2,29,2,10,0
40,9,16,8,1
7,68,7,49,0
53,14,3,5,1
